artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,H_or_N
Dr. Dre,Forgot About Dre,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293,4,N
Missy Elliott,Hot Boyz,spotify:track:7mYvtEeBdMqRSyj1Qpv6my,0.727,0.445,1,-11.241,1,0.291,0.339,0.0,0.18,0.527,81.125,audio_features,7mYvtEeBdMqRSyj1Qpv6my,spotify:track:7mYvtEeBdMqRSyj1Qpv6my,https://api.spotify.com/v1/tracks/7mYvtEeBdMqRSyj1Qpv6my,https://api.spotify.com/v1/audio-analysis/7mYvtEeBdMqRSyj1Qpv6my,215467,4,N
Backstreet Boys,Show Me the Meaning of Being Lonely,spotify:track:3BsaRV5QIulYz2lV9WWa8T,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,audio_features,3BsaRV5QIulYz2lV9WWa8T,spotify:track:3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/tracks/3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/audio-analysis/3BsaRV5QIulYz2lV9WWa8T,234960,4,N
Samantha Mumba,Gotta Tell You,spotify:track:1rj0XawWJNisX7SGYexowJ,0.739,0.75,0,-4.513,0,0.0278,0.205,0.0,0.157,0.758,109.983,audio_features,1rj0XawWJNisX7SGYexowJ,spotify:track:1rj0XawWJNisX7SGYexowJ,https://api.spotify.com/v1/tracks/1rj0XawWJNisX7SGYexowJ,https://api.spotify.com/v1/audio-analysis/1rj0XawWJNisX7SGYexowJ,200160,4,N
Mýa,Case Of The Ex (Whatcha Gonna Do),spotify:track:1ak0S3NhwWrUgNlQhJ1412,0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,audio_features,1ak0S3NhwWrUgNlQhJ1412,spotify:track:1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/tracks/1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/audio-analysis/1ak0S3NhwWrUgNlQhJ1412,236827,4,N
Mary Mary,Shackles (Praise You),spotify:track:7JKEA8xYDoFp4q0QBW2PGg,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,audio_features,7JKEA8xYDoFp4q0QBW2PGg,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/tracks/7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/audio-analysis/7JKEA8xYDoFp4q0QBW2PGg,198347,4,N
Next,Wifey,spotify:track:1NNDZc9BHaWe9JqIsPRlNV,0.831,0.713,7,-6.967,0,0.104,0.0678,0.0,0.0659,0.683,99.584,audio_features,1NNDZc9BHaWe9JqIsPRlNV,spotify:track:1NNDZc9BHaWe9JqIsPRlNV,https://api.spotify.com/v1/tracks/1NNDZc9BHaWe9JqIsPRlNV,https://api.spotify.com/v1/audio-analysis/1NNDZc9BHaWe9JqIsPRlNV,243467,4,N
Janet Jackson,Doesn't Really Matter,spotify:track:0ekdT3jOhn3LinWtqHhmsw,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,audio_features,0ekdT3jOhn3LinWtqHhmsw,spotify:track:0ekdT3jOhn3LinWtqHhmsw,https://api.spotify.com/v1/tracks/0ekdT3jOhn3LinWtqHhmsw,https://api.spotify.com/v1/audio-analysis/0ekdT3jOhn3LinWtqHhmsw,265027,4,N
Ricky Martin,She Bangs - English Version,spotify:track:1uPrIHgYztXSkkcts9jet8,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,audio_features,1uPrIHgYztXSkkcts9jet8,spotify:track:1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/tracks/1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/audio-analysis/1uPrIHgYztXSkkcts9jet8,280627,4,N
Jagged Edge,He Can't Love U,spotify:track:3VEZvzr84WVnoorZ4tlBSw,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,audio_features,3VEZvzr84WVnoorZ4tlBSw,spotify:track:3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/tracks/3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/audio-analysis/3VEZvzr84WVnoorZ4tlBSw,244053,4,N
